name,slug,manufacturer,type,price before,sale price,discount decimal,discount percent,category id,availability,images,images string
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,Navratna,2,138.00,131.10,6.90,5,,True,['https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-200ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-200ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60
Dettol Germ Protection Bathing Bar Soap Original - 125 G,dettol-germ-protection-bathing-bar-soap-original---125-g-178430,Dettol,2,50.00,47.50,2.50,5,,True,['https://cdn01.pharmeasy.in/dam/products_otc/054560/dettol-germ-protection-bathing-bar-soap-original-125g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/054560/dettol-germ-protection-bathing-bar-soap-original-125g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60
New Hair 4u 5% Hair Spray Bottle Of 60 Ml,new-hair-4u-5-hair-spray-bottle-of-60-ml-216670,Hair 4U,2,736.00,552.00,184.00,25,,True,['https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1605104937.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1605104937.jpg?dim=300x0&f=jpg&dpr=1&q=60
Sapat Dr. Skin Lotion - 12 Ml,sapat-dr-skin-lotion---12-ml-501863,SAPAT,2,35.00,31.50,3.50,10,,True,['https://cdn01.pharmeasy.in/dam/products_otc/M60976/sapat-dr-skin-lotion-12-ml-2-1601708400.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/M60976/sapat-dr-skin-lotion-12-ml-2-1601708400.jpg?dim=300x0&f=jpg&dpr=1&q=60
Liveasy Wellness Diabetic Protein - Blood Sugar & Weight Management - French Vanilla 200g Jar,liveasy-wellness-diabetic-protein---blood-sugar-weight-management---french-vanilla-200g-jar-235525,LivEasy,2,549.00,285.48,263.52,48,,True,['https://cdn01.pharmeasy.in/dam/products_otc/W25423/liveasy-wellness-diabetic-protein-blood-sugar-weight-management-french-vanilla-200g-jar-2-1602239418.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/W25423/liveasy-wellness-diabetic-protein-blood-sugar-weight-management-french-vanilla-200g-jar-2-1602239418.jpg?dim=300x0&f=jpg&dpr=1&q=60
Perfectil Skin Care Tablets Box Of 30,perfectil-skin-care-tablets-box-of-30-188925,PERFECTIL,2,570.00,484.50,85.50,15,,True,['https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-1-1607525196.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-1-1607525196.jpg?dim=300x0&f=jpg&dpr=1&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,2,348.63,278.90,69.73,20,,True,['https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1603774486.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1603774486.jpg?dim=300x0&f=jpg&dpr=1&q=60
Amrutanjan Comfy Ultra Xl  Sanitary Pads  Packet Of 6,amrutanjan-comfy-ultra-xl-sanitary-pads-packet-of-6-484622,Amrutanjan,2,39.00,33.15,5.85,15,,True,['https://cdn01.pharmeasy.in/dam/products_otc/U60635/amrutanjan-comfy-ultra-xl-6-pads-1.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/U60635/amrutanjan-comfy-ultra-xl-6-pads-1.jpg?dim=300x0&f=jpg&dpr=1&q=60
Revital H Woman Health Supplement Tablets Strip Of 10,revital-h-woman-health-supplement-tablets-strip-of-10-23109,REVITAL,2,120.00,102.00,18.00,15,,True,['https://cdn01.pharmeasy.in/dam/products_otc/311270/revital-h-woman-health-supplement-tablets-strip-of-10-1-1598247126.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/311270/revital-h-woman-health-supplement-tablets-strip-of-10-1-1598247126.jpg?dim=300x0&f=jpg&dpr=1&q=60
Whisper Ultra Overnight Size Xl Plus Sanitary Pads Packet Of 7,whisper-ultra-overnight-size-xl-plus-sanitary-pads-packet-of-7-171172,WHISPER,2,88.00,82.72,5.28,6,,True,['https://cdn01.pharmeasy.in/dam/products_otc/I05121/whisper-ultra-overnight-sanitary-pads-xl-plus-7-pc-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60'],https://cdn01.pharmeasy.in/dam/products_otc/I05121/whisper-ultra-overnight-sanitary-pads-xl-plus-7-pc-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60
